gameId,attendance
22100878,19166
22100879,16834
22100880,15982
22100881,14920
22100875,19156
22100876,14540
22100874,14398
22100873,17071
22100870,17341
22100871,17136
22100872,15901
22100867,15947
22100868,19600
22100869,20960
22100866,19068
22100865,18306
22100861,21153
22100862,17341
22100863,15319
22100860,18433
22100858,10793
22100857,13532
22100856,19156
22100855,17071
22100853,20028
22100854,18064
22100846,19454
22100847,14169
22100845,18521
22100844,18306
22100843,20092
22100841,17234
22100838,20088
22100839,15075
22100840,20669
22100837,18064
22100835,19532
22100832,15204
22100833,16672
22100831,18744
22100830,12527
22100827,13858
22100826,19099
22100825,19432
22100822,18997
22100823,16024
22100824,12409
22100821,15093
22100820,19200
22100818,16101
22100819,15121
22100816,14265
22100817,17732
22100815,20720
22100814,18306
22100812,20615
22100813,17009
22100810,14102
22100811,14222
22100809,17395
22100808,15702
22100805,19432
22100806,14402
22100807,19887
22100802,20233
22100803,16487
22100804,18241
22100800,19393
22100801,14097
22100799,18997
22100797,19420
22100798,18058
22100791,19200
22100795,15329
22100794,16152
22100787,17733
22100788,17584
22100789,16355
22100785,18064
22100786,19068
22100782,15523
22100781,17259
22100779,18306
22100780,13153
22100778,19200
22100775,19156
22100776,19812
22100773,14528
22100774,20089
22100772,17071
22100771,17070
22100769,20217
22100770,15839
22100768,17341
22100766,15499
22100764,16146
22100762,19156
22100767,14168
22100759,17637
22100760,14629
22100761,20424
22100757,10407
22100758,17071
22100755,13376
22100756,17341
22100753,19521
22100751,17391
22100750,18064
22100748,19600
22100749,17135
22100747,20380
22100745,16168
22100746,19831
22100744,17341
22100743,17071
22100742,18354
22100729,15254
22100738,19600
22100739,16100
22100740,16916
22100741,15106
22100735,19469
22100737,16932
22100736,13156
22100734,18064
22100733,20953
22100731,18306
22100732,16334
22100728,14662
22100453,18011
22100472,20269
22100725,15080
22100727,19600
22100722,18904
22100723,14116
22100724,12448
22100720,18064
22100721,16422
22100719,15007
22100717,19156
22100718,18126
22100454,20121
22100714,16023
22100716,13544
22100713,17071
22100712,15581
22100730,14378
22100709,17321
22100708,18064
22100706,16475
22100707,14060
22100705,19701
22100703,15822
22100704,16437
22100700,19973
22100699,16371
22100698,19812
22100697,17071
22100695,19432
22100696,17341
22100694,18064
22100692,17009
22100693,18306
22100691,15068
22100689,14755
22100690,18013
22100687,16385
22100688,19156
22100684,15835
22100685,18846
22100686,20182
22100683,18064
22100682,19584
22100680,17818
22100678,14547
22100679,12907
22100675,19218
22100676,11848
22100673,20824
22100674,17341
22100670,15199
22100671,19156
22100672,19600
22100668,20081
22100669,15380
22100667,18064
22100666,16071
22100665,17238
22100663,19266
22100664,10422
22100661,13648
22100660,16903
22100658,17794
22100659,15080
22100657,18105
22100656,14581
22100655,19812
22100653,15647
22100617,18178
22100650,19816
22100649,19520
22100647,19156
22100648,13223
22100645,19600
22100643,16414
22100644,17034
22100642,15124
22100641,17341
22100639,16712
22100640,12857
22100638,12160
22100636,19600
22100637,21174
22100632,16011
22100633,18011
22100634,14019
22100635,20444
22100631,14972
22100630,16964
22100628,15881
22100629,15406
22100627,17848
22100625,21698
22100626,12199
22100624,18306
22100621,15355
22100622,18215
22100619,20317
22100620,13138
22100415,19886
22100614,17794
22100615,15155
22100612,13985
22100486,16379
22100611,12110
22100711,13593
22100609,19156
22100610,16569
22100607,14253
22100608,17834
22100606,18288
22100605,16408
22100604,18064
22100603,20041
22100601,14772
22100598,13223
22100597,14836
22100602,15606
22100596,17071
22100595,19156
22100592,19139
22100593,18644
22100594,13160
22100591,17936
22100589,18997
22100590,16708
22100588,15966
22100585,21700
22100587,14874
22100583,17732
22100582,20265
22100581,17071
22100579,12983
22100580,15986
22100578,17529
22100575,14056
22100576,15773
22100573,17341
22100574,14375
22100570,19156
22100571,14176
22100572,20441
22100567,14427
22100568,13116
22100569,13014
22100566,17919
22100565,15158
22100564,18449
22100562,18178
22100559,18064
22100558,19767
22100555,20502
22100556,17341
22100557,15057
22100554,17089
22100553,8902
